part,case,detail,VBUS,ILOAD,dead_time,peak_V,margin_V,loss_uJ,safe
1,"1. Fastest drive, nothing else","8 pull-up slices, no clamp, off gate at 0 V",100,10,,1.6488,-0.2488,4.0199,0
1,2. Turn the Miller clamp on,same drive; the clamp shorts the off gate down,100,10,,0.8304,0.5696,4.0548,1
1,3. Add the -2 V off-bias rail,"same again; the off gate now sits at -2 V, not 0 V",100,10,,-1.1759,2.5759,5.2326,1
1,4. Slow the drive right down,1 pull-up slice instead of 8 -- the safe-but-wasteful extreme,100,10,,-1.6745,3.0745,7.908,1
1,5. The setting the search chose,"8/8/1 slices, 25 ns dead time, clamp on, 0 V rail",100,10,,1.0591,0.3409,3.9946,1
2,"full load   100 V, 10 A",dead-time sweep,100,10,5n,1.321,0.079,4.3844,1
2,"full load   100 V, 10 A",dead-time sweep,100,10,10n,0.935,0.465,4.1015,1
2,"full load   100 V, 10 A",dead-time sweep,100,10,15n,1.1269,0.2731,3.9449,1
2,"full load   100 V, 10 A",dead-time sweep,100,10,25n,1.0591,0.3409,3.9946,1
2,"light load   50 V,  2 A",dead-time sweep,50,2,5n,1.3477,0.0523,0.4476,1
2,"light load   50 V,  2 A",dead-time sweep,50,2,10n,0.6853,0.7147,0.5708,1
2,"light load   50 V,  2 A",dead-time sweep,50,2,15n,0.7417,0.6583,0.6094,1
2,"light load   50 V,  2 A",dead-time sweep,50,2,25n,0.7479,0.6521,0.5962,1
