t_us,vout_closed,vout_open,iout,vin
0.0000,0.0149,0.3072,0.0000,100.000
0.3751,0.0172,0.3072,0.1746,100.000
0.7502,0.0222,0.3072,0.1742,100.000
1.1253,0.0271,0.5186,0.1737,100.000
1.5004,0.0349,0.6374,0.1731,100.000
1.8755,0.0441,0.7764,0.1724,100.000
2.2506,0.1109,1.1995,0.8629,100.000
2.6257,0.1342,1.3729,0.8607,100.000
3.0008,0.1573,1.5660,0.8580,100.000
3.3758,0.1786,2.0941,0.8547,100.000
3.7509,0.2008,2.3254,0.8510,100.000
4.1260,0.3014,2.9555,1.2067,100.000
4.5011,0.3308,3.2261,1.2013,100.000
4.8762,0.3608,3.5142,1.1951,100.000
5.2513,0.3892,4.2516,1.1882,100.000
5.6264,0.4176,4.5660,1.1806,100.000
6.0015,0.4443,4.8958,1.1722,100.000
6.3766,0.5618,5.7876,1.3148,100.000
6.7517,0.5922,6.1560,1.3048,100.000
7.1268,0.6226,7.0778,1.2939,100.000
7.5019,0.6534,7.4639,1.2823,100.000
7.8770,0.6829,7.8634,1.2699,100.000
8.2521,0.8061,8.9880,1.4176,100.000
8.6272,0.8373,9.4266,1.4035,100.000
9.0023,0.8693,9.8801,1.3885,100.000
9.3773,0.9013,10.9412,1.3727,100.000
9.7524,0.9330,11.4019,1.3561,100.000
10.1275,1.0596,12.7419,1.4884,100.000
10.5026,1.0903,13.2304,1.4700,100.000
10.8777,1.1229,13.7308,1.4508,100.000
11.2528,1.1553,14.9564,1.4307,100.000
11.6279,1.1881,15.4807,1.4098,100.000
12.0030,1.2184,16.0153,1.3881,100.000
12.3781,1.3457,17.4860,1.5097,100.000
12.7532,1.3778,18.0503,1.4862,100.000
13.1283,1.4101,19.3600,1.4618,100.000
13.5034,1.4425,19.9388,1.4367,100.000
13.8785,1.4735,20.5250,1.4107,100.000
14.2536,1.5991,22.1216,1.5280,100.000
14.6287,1.6298,22.7451,1.5003,100.000
15.0038,1.6614,23.3724,1.4717,100.000
15.3788,1.6930,24.6754,1.4423,100.000
15.7539,1.7243,25.3119,1.4122,100.000
16.1290,1.8461,27.0113,1.5273,100.000
16.5041,1.8748,27.6492,1.4955,100.000
16.8792,1.9052,28.2915,1.4628,100.000
17.2543,1.9354,29.7014,1.4294,100.000
17.6294,1.9659,30.3490,1.3953,100.000
18.0045,1.9938,31.0001,1.3603,100.000
18.3796,2.1098,32.7293,1.4743,100.000
18.7547,2.1384,33.3770,1.4378,100.000
19.1298,2.1671,34.8564,1.4005,100.000
19.5049,2.1959,35.4958,1.3625,100.000
19.8800,2.2233,36.1347,1.3238,100.000
20.2551,2.3314,37.9359,1.4310,100.000
20.6302,2.3572,38.5973,1.3907,100.000
21.0053,2.3836,39.2589,1.3498,100.000
21.3803,2.4101,40.6421,1.3083,100.000
21.7554,2.4363,41.3079,1.2661,100.000
22.1305,2.5361,43.0778,1.3764,100.000
22.5056,2.5590,43.7218,1.3328,100.000
22.8807,2.5830,44.3636,1.2885,100.000
23.2558,2.6069,45.8050,1.2437,100.000
23.6309,2.6310,46.4406,1.1983,100.000
