E_on,E_off,E_dt,Vds_pk_off,ov_pct_off,E_sw,E_tot,Vds_pk,ov_pct,t_set,E_osc,Vgs_spur,Vgs_spur_hs,Vgs_spur_ls,margin,false_on,VBUS,ILOAD,VDRV,VNEG,NPU_LS,NPD_LS,NPU_HS,NPD_HS,DT,CLKEN,CLKDEL,RUNIT,TJ,corner
3.0276016800960686e-07,2.146861425607616e-07,2.0518692648726496e-07,30.228904,-39.542192,5.174463105703685e-07,7.226332370576334e-07,65.36709,30.73418000000001,4.8905e-08,15.30707560007546,-0.8213079799999994,-0.8213079799999994,-1.14122097,2.2213079799999993,0,50,2,5,-2,8,2,8,8,10n,0,4n,8,25,50V_2A_25C
1.65088422706772e-07,2.1048082093942002e-07,2.3382853712943924e-07,52.9281149,5.856229799999994,3.75569243646192e-07,6.093977807756313e-07,52.9281149,5.856229799999994,1.552324000000013e-08,11.72194091730558,0.7416544800000002,0.7416544800000002,0.00537082137,0.6583455199999997,0,50,2,5,0,8,8,8,1,15n,1,4n,8,25,50V_2A_25C
1.6929958851508516e-07,2.385970711481831e-07,7.027098136008108e-08,11.097408,-77.805184,4.078966596632683e-07,4.781676410233494e-07,87.2317182,74.4634364,6.000087000000004e-08,22.91397821461167,0.6372506099999997,0.6372506099999997,0.278007894,0.7627493900000002,0,50,2,5,0,8,8,8,8,5n,1,4n,8,25,50V_2A_25C
3.9833336692511046e-07,2.1468609002637267e-07,2.0522728483705968e-07,30.2286624,-39.5426752,6.130194569514831e-07,8.182467417885428e-07,65.367327,30.734654000000006,4.8905e-08,15.307144634016678,-0.917621481,-0.917621481,-1.1412135,2.3176214809999998,0,50,2,5,-2,6,2,8,8,10n,0,4n,8,25,50V_2A_25C
4.144776825531334e-07,2.146534243950275e-07,1.9842492929382894e-07,30.2320112,-39.5359776,6.29131106948161e-07,8.275560362419899e-07,65.3521334,30.7042668,4.8905e-08,15.301311407362508,-0.5344163000000002,-0.5344163000000002,-1.14202891,1.9344163,0,50,2,5,-2,6,2,8,4,10n,0,4n,8,25,50V_2A_25C
5.537686848465226e-07,2.1465331994232363e-07,1.98422242264308e-07,30.2315356,-39.5369288,7.684220047888462e-07,9.668442470531542e-07,65.3526,30.70519999999999,4.8905e-08,15.301447561989516,-0.5725420999999997,-0.5725420999999997,-1.14201421,1.9725420999999996,0,50,2,5,-2,4,2,8,4,10n,0,4n,8,25,50V_2A_25C
6.527506875180773e-07,2.1465322327307987e-07,1.98349884854277e-07,30.2310925,-39.537815,8.674039107911572e-07,1.0657537956454343e-06,65.3530352,30.70607039999999,4.8905e-08,15.30157495136214,-0.6015825999999969,-0.6015825999999969,-1.14200044,2.0015825999999968,0,50,2,5,-2,3,2,8,4,10n,0,4n,8,25,50V_2A_25C
7.938281109789981e-07,2.1465305561197177e-07,1.983454740244992e-07,30.2303102,-39.5393796,1.0084811665909698e-06,1.206826640615469e-06,65.3538057,30.70761139999999,4.8905e-08,15.301801753156097,-0.6611447000000013,-0.6611447000000013,-1.14197586,2.061144700000001,0,50,2,5,-2,2,2,8,4,10n,0,4n,8,25,50V_2A_25C
5.376949691951399e-07,2.1468598616022303e-07,2.0518278332336306e-07,30.2281872,-39.5436256,7.52380955355363e-07,9.575637386787261e-07,65.3677935,30.73558700000001,4.8905e-08,15.307280586166844,-1.0272600139999999,-1.0272600139999999,-1.14119879,2.427260014,0,50,2,5,-2,4,2,8,8,10n,0,4n,8,25,50V_2A_25C
6.368176951551631e-07,2.1468589023744667e-07,2.051802271864224e-07,30.2277446,-39.5445108,8.515035853926097e-07,1.056683812579032e-06,65.3682285,30.736457,4.8905e-08,15.307407747249576,-1.1220822739999998,-1.1220822739999998,-1.14118499,2.5220822739999997,0,50,2,5,-2,3,2,8,8,10n,0,4n,8,25,50V_2A_25C
7.818480217563996e-07,2.1468572307379864e-07,2.052174744505306e-07,30.226963,-39.546074,9.965337448301983e-07,1.201751219280729e-06,65.3689985,30.737997000000004,4.8905e-08,15.307634178037208,-1.14116038,-1.277855847,-1.14116038,2.54116038,0,50,2,5,-2,2,2,8,8,10n,0,4n,8,25,50V_2A_25C
1.0394902167251382e-06,2.1468760231830753e-07,2.0516561561575315e-07,30.2252038,-39.5495924,1.2541778190434457e-06,1.459343434659199e-06,65.3707441,30.741488199999996,4.8905e-08,15.308155812901663,-1.14110337,-1.4235177000000014,-1.14110337,2.54110337,0,50,2,5,-2,1,2,8,8,10n,0,4n,8,25,50V_2A_25C
3.0765120981894303e-07,2.757075782041034e-07,9.294395906846845e-08,11.541387,-76.917226,5.833587880230465e-07,6.763027470915149e-07,82.3624323,64.72486459999999,6.110500000000007e-08,23.468560465925194,1.73743113,1.092459400000001,1.73743113,-0.33743113000000013,1,50,2,5,0,4,2,8,8,10n,0,4n,8,25,50V_2A_25C
1.857615422193837e-07,4.233098738795717e-07,5.33487048176517e-09,0.502808496,-98.994383008,6.090714160989554e-07,6.144062865807205e-07,107.663363,115.32672600000002,6.019621000000009e-08,29.566206046672384,0.909665019,0.5360798800000008,0.909665019,0.49033498099999995,0,50,2,5,0,8,2,8,4,5n,1,4n,8,25,50V_2A_25C
3.184902273875128e-07,2.1465347754770756e-07,1.984262947436387e-07,30.2322529,-39.5354942,5.331437049352204e-07,7.31569999678859e-07,65.3518964,30.703792800000002,4.8905e-08,15.301242300289328,-0.46356761000000013,-0.46356761000000013,-1.14203635,1.86356761,0,50,2,5,-2,8,2,8,4,10n,0,4n,8,25,50V_2A_25C
