E_on,E_off,E_dt,Vds_pk_off,ov_pct_off,E_sw,E_tot,Vds_pk,ov_pct,t_set,E_osc,Vgs_spur,Vgs_spur_hs,Vgs_spur_ls,margin,false_on,VBUS,ILOAD,VDRV,VNEG,NPU_LS,NPD_LS,NPU_HS,NPD_HS,DT,CLKEN,CLKDEL,RUNIT,TJ,corner
1.2569312003586654e-06,2.74697233798308e-07,6.589528219226512e-08,11.5442833,-76.91143339999999,1.5316284341569733e-06,1.5975237163492385e-06,82.3856849,64.7713698,6.110502000000014e-08,23.4717729581268,3.0214621999999984,3.0214621999999984,1.7367873,-1.6214621999999985,1,50,2,5,0,1,2,8,1,10n,0,4n,8,25,50V_2A_25C
9.006167591483797e-07,2.1452019499589389e-07,1.599975293648392e-07,30.246175,-39.50765,1.1151369541442736e-06,1.2751344835091127e-06,65.2859981,30.571996200000005,4.8905010000000036e-08,15.278034875835331,0.8025155999999996,0.8025155999999996,-1.14506843,0.5974844000000004,0,50,2,5,-2,1,2,8,1,10n,0,4n,8,25,50V_2A_25C
6.876064901011037e-07,2.140863525007766e-07,1.5022246546768037e-07,25.9759423,-48.0481154,9.016928426018803e-07,1.0519153080695606e-06,69.8652854,39.73057080000001,5.3006620000000044e-08,17.307491640085885,0.40168740000000014,0.40168740000000014,0.210121778,0.9983125999999998,0,50,2,5,0,1,2,8,1,10n,1,4n,8,25,50V_2A_25C
1.0461720463442292e-06,2.1274702620628728e-07,1.8440708749756562e-07,30.5301999,-38.9396002,1.2589190725505164e-06,1.443326160048082e-06,64.6852528,29.3705056,4.880504999999996e-08,15.109878387487246,-1.70445292,-1.70445292,-1.85764198,3.10445292,0,50,2,5,-2,1,2,8,1,10n,1,4n,8,25,50V_2A_25C
1.012796371352425e-06,2.1371314893836743e-07,1.98073575337757e-07,42.7019975,-14.596005000000005,1.2265095202907924e-06,1.4245830956285493e-06,54.7500094,9.500018800000007,2.9754620000000042e-08,12.519422896528436,2.722185100000001,2.722185100000001,0.421006239,-1.322185100000001,1,50,2,5,0,1,2,8,1,15n,0,4n,8,25,50V_2A_25C
1.0369836167192676e-06,2.12254864870151e-07,2.3630541881104133e-07,52.7676491,5.5352982,1.2492384815894187e-06,1.48554390040046e-06,53.0433785,6.086757000000006,1.6054980000000107e-08,12.70081147648164,0.7698003,0.7698003,-1.8465794,0.6301996999999999,0,50,2,5,-2,1,2,8,1,15n,0,4n,8,25,50V_2A_25C
6.790185700770976e-07,2.1116663670309542e-07,2.423490398816874e-07,51.0831326,2.166265199999998,8.90185206780193e-07,1.1325342466618805e-06,52.4395911,4.8791822000000025,1.3771530000000041e-08,12.764771747792564,0.37329710000000205,0.37329710000000205,0.0118234361,1.0267028999999979,0,50,2,5,0,1,2,8,1,15n,1,4n,8,25,50V_2A_25C
1.047590116008211e-06,2.103139611874839e-07,2.689190705918137e-07,53.0791739,6.158347800000001,1.2579040771956948e-06,1.5268231477875085e-06,53.3120311,6.624062199999997,1.6054879999999956e-08,12.712206168704125,-1.702726427,-1.702726427,-1.98996751,3.102726427,0,50,2,5,-2,1,2,8,1,15n,1,4n,8,25,50V_2A_25C
1.0225933646988456e-06,2.1383911021684524e-07,1.9996257233141007e-07,54.5289134,9.0578268,1.2364324749156909e-06,1.436395047247101e-06,54.5289134,9.0578268,2.6006970000000132e-08,12.542472638235855,2.6977683999999975,2.6977683999999975,0.0151067383,-1.2977683999999976,1,50,2,5,0,1,2,8,1,25n,0,4n,8,25,50V_2A_25C
1.0166974029682567e-06,2.0857107659171115e-07,2.2947244121702725e-07,56.4110192,12.822038399999997,1.2252684795599678e-06,1.454740920776995e-06,56.4110192,12.822038399999997,3.4144500000000084e-08,12.919556989428864,0.8610319000000004,0.8610319000000004,-1.97494176,0.5389680999999995,0,50,2,5,-2,1,2,8,1,25n,0,4n,8,25,50V_2A_25C
6.875571133777934e-07,2.0964006266289053e-07,2.3917878937969036e-07,53.2643971,6.528794199999993,8.971971760406839e-07,1.1363759654203742e-06,53.2643971,6.528794199999993,2.482153000000013e-08,12.94004610678842,0.3839494000000023,0.3839494000000023,0.0043097206,1.0160505999999976,0,50,2,5,0,1,2,8,1,25n,1,4n,8,25,50V_2A_25C
1.0515512858270455e-06,2.0714911425982464e-07,2.7033122477040913e-07,55.452043,10.904086000000007,1.25870040008687e-06,1.5290316248572791e-06,55.452043,10.904086000000007,3.017153e-08,12.910966809491546,-1.702885223,-1.702885223,-1.98672399,3.102885223,0,50,2,5,-2,1,2,8,1,25n,1,4n,8,25,50V_2A_25C
