E_on,E_off,E_dt,Vds_pk_off,ov_pct_off,E_sw,E_tot,Vds_pk,ov_pct,t_set,E_osc,Vgs_spur,Vgs_spur_hs,Vgs_spur_ls,margin,false_on,case,corner,NPU_LS,NPD_LS,NPD_HS,DT,CLKEN,VNEG
1.3918575781090066e-05,4.860490240055849e-06,1.3932749027054852e-08,1.19777097,-98.80222902999999,1.8779066021145915e-05,1.879299877017297e-05,142.277037,42.27703700000001,4.992828000000003e-08,78.03044434259117,4.62859979,3.594002599999996,4.62859979,-3.22859979,1,nominal,100V_10A_25C,1,2,1,5n,0,0
5.61445683011308e-06,7.153877009653683e-07,1.1919930055281387e-07,26.4184735,-73.5815265,6.329844531078449e-06,6.449043831631262e-06,145.156578,45.156577999999996,6.100513000000011e-08,70.15519481556368,2.5661460000000034,2.5661460000000034,1.56028993,-1.1661460000000035,1,nominal,100V_10A_25C,1,2,1,5n,0,-2
5.070596514736697e-06,9.077138732262819e-07,1.9511441770036736e-08,7.53327655,-92.46672345,5.978310387962979e-06,5.997821829733015e-06,162.29361,62.29361,6.065253000000008e-08,76.36686388641286,1.3220770000000073,1.3220770000000073,1.02392356,0.07792299999999264,0,nominal,100V_10A_25C,1,2,1,5n,1,0
6.320792152550691e-06,6.461617202865668e-07,1.5755436339945494e-07,40.6480932,-59.35190680000001,6.966953872837258e-06,7.124508236236713e-06,135.780734,35.780733999999995,5.752500000000014e-08,62.94537294199468,-0.3732949999999988,-0.3732949999999988,-1.23526669,1.7732949999999987,0,nominal,100V_10A_25C,1,2,1,5n,1,-2
9.129121394628413e-06,1.1725182282986984e-06,5.798670314466229e-07,96.5044577,-3.4955422999999968,1.0301639622927111e-05,1.0881506654373734e-05,118.003586,18.003586,4.796487000000005e-08,65.60358480107779,3.1599550000000107,3.1599550000000107,1.35477853,-1.7599550000000108,1,nominal,100V_10A_25C,1,2,1,10n,0,0
6.215505564740378e-06,7.063176363085161e-07,5.383963284203691e-07,117.899193,17.899192999999997,6.921823201048894e-06,7.460219529469263e-06,118.668079,18.668079000000006,4.808858000000009e-08,59.20442691057594,1.6188508999999982,1.6188508999999982,-1.47971825,-0.2188508999999983,1,nominal,100V_10A_25C,1,2,1,10n,0,-2
5.2158886464301225e-06,6.294181386380026e-07,6.427064170080407e-07,123.968087,23.968086999999997,5.845306785068125e-06,6.488013202076166e-06,123.968087,23.968086999999997,4.537499999999997e-08,61.9977534608342,0.4695315999999963,0.4695315999999963,0.173719534,0.9304684000000036,0,nominal,100V_10A_25C,1,2,1,10n,1,0
6.546097033775674e-06,6.397852908582099e-07,6.856536345165177e-07,123.991575,23.991574999999997,7.185882324633884e-06,7.871535959150402e-06,123.991575,23.991574999999997,5.105628000000004e-08,58.809950389941235,-1.5786624600000003,-1.5786624600000003,-1.82189516,2.9786624600000002,0,nominal,100V_10A_25C,1,2,1,10n,1,-2
5.12621660728848e-06,1.1723222379982902e-06,7.196680012921048e-07,96.4452839,-3.554716099999993,6.29853884528677e-06,7.018206846578875e-06,118.001227,18.001227,4.797499999999995e-08,65.59389904978751,1.580114100000003,1.580114100000003,1.35380119,-0.18011410000000305,1,nominal,100V_10A_25C,1,2,4,10n,0,0
6.226235796303425e-06,7.072572592486485e-07,7.881855850681828e-07,117.775303,17.775302999999994,6.933493055552073e-06,7.721678640620255e-06,117.775303,17.775302999999994,4.787137000000012e-08,58.73863539420203,-0.700663899999995,-0.700663899999995,-1.4950437,2.100663899999995,0,nominal,100V_10A_25C,1,2,4,10n,0,-2
5.308557443218379e-06,6.294510254812993e-07,6.789351760646072e-07,123.943263,23.943263,5.938008468699678e-06,6.616943644764286e-06,123.943263,23.943263,4.542500000000008e-08,61.986731894768525,0.39961999999999875,0.39961999999999875,0.173003733,1.0003800000000012,0,nominal,100V_10A_25C,1,2,4,10n,1,0
6.654413560561102e-06,6.397613630244933e-07,7.734154861820989e-07,123.9721,23.972099999999998,7.2941749235855956e-06,8.067590409767694e-06,123.9721,23.972099999999998,4.8006390000000104e-08,58.781481863695056,-1.6201886099999996,-1.6201886099999996,-1.82293125,3.0201886099999995,0,nominal,100V_10A_25C,1,2,4,10n,1,-2
5.125215405168639e-06,1.1743115853864352e-06,7.182406996410609e-07,118.866656,18.866656000000006,6.299526990555074e-06,7.017767690196134e-06,118.866656,18.866656000000006,4.467814000000008e-08,66.87485403974034,1.5800095999999968,1.5800095999999968,0.253061394,-0.18000959999999688,1,nominal,100V_10A_25C,1,2,4,15n,0,0
6.241924965896664e-06,7.084714735441616e-07,7.490008593248958e-07,119.248429,19.248429,6.9503964394408255e-06,7.699397298765722e-06,119.248429,19.248429,3.795466999999999e-08,59.3235979878673,-0.7026713999999998,-0.7026713999999998,-1.83320865,2.1026713999999997,0,nominal,100V_10A_25C,1,2,4,15n,0,-2
5.269522048879257e-06,6.299509961581461e-07,6.816515129877144e-07,123.943263,23.943263,5.899473045037404e-06,6.581124558025118e-06,123.943263,23.943263,4.8725000000000114e-08,63.086013662202305,0.3732592000000068,0.3732592000000068,0.107986787,1.0267407999999931,0,nominal,100V_10A_25C,1,2,4,15n,1,0
6.6425182410762295e-06,6.402753538252646e-07,7.545048705733853e-07,123.9721,23.972099999999998,7.282793594901494e-06,8.037298465474879e-06,123.9721,23.972099999999998,4.142499999999999e-08,59.08560519911024,-1.6240491400000003,-1.6240491400000003,-1.87738254,3.0240491400000002,0,nominal,100V_10A_25C,1,2,4,15n,1,-2
8.611021284273771e-06,1.1759083695124471e-06,4.5449702099103664e-07,120.967715,20.967715,9.786929653786218e-06,1.0241426674777255e-05,120.967715,20.967715,4.122003999999998e-08,67.55161728219491,3.0651989999999927,3.0651989999999927,0.294129971,-1.6651989999999928,1,nominal,100V_10A_25C,1,2,1,15n,0,0
6.330693692016189e-06,7.090954142664015e-07,3.5629106722608096e-07,120.926463,20.926463,7.0397891062825905e-06,7.3960801735086714e-06,120.926463,20.926463,3.465285000000013e-08,60.13169546089363,1.6160588000000047,1.6160588000000047,-1.82601272,-0.21605880000000477,1,nominal,100V_10A_25C,1,2,1,15n,0,-2
5.314575368086141e-06,6.296395652261728e-07,6.47233250804768e-07,123.968087,23.968086999999997,5.944214933312314e-06,6.591448184117082e-06,123.968087,23.968086999999997,4.8725000000000114e-08,63.09366998619324,0.46650280000000066,0.46650280000000066,0.110549789,0.9334971999999992,0,nominal,100V_10A_25C,1,2,1,15n,1,0
6.62469205928024e-06,6.403891203362405e-07,6.663406556339263e-07,123.991575,23.991574999999997,7.265081179616481e-06,7.931421835250408e-06,123.991575,23.991574999999997,4.142499999999999e-08,59.110056889639885,-1.5742214600000013,-1.5742214600000013,-1.87537137,2.974221460000001,0,nominal,100V_10A_25C,1,2,1,15n,1,-2
8.586364345672504e-06,1.1765136789783541e-06,4.1238495122579146e-07,120.967715,20.967715,9.762878024650858e-06,1.017526297587665e-05,120.967715,20.967715,4.4474350000000084e-08,68.08749373233132,3.058817300000001,3.058817300000001,0.135043253,-1.6588173000000013,1,nominal,100V_10A_25C,1,2,1,25n,0,0
6.31338487965787e-06,7.10464663076868e-07,1.2322000869853135e-06,120.926463,20.926463,7.0238495427347375e-06,8.25604962972005e-06,120.926463,20.926463,3.124861999999999e-08,59.80777766973801,1.627960299999998,1.627960299999998,-1.89285252,-0.22796029999999812,1,nominal,100V_10A_25C,1,2,1,25n,0,-2
5.27631863362888e-06,6.310901993979138e-07,6.276552176916954e-07,123.968087,23.968086999999997,5.907408833026794e-06,6.535064050718489e-06,123.968087,23.968086999999997,4.892466999999999e-08,62.81252917187214,0.447868100000008,0.447868100000008,0.060197075,0.9521318999999919,0,nominal,100V_10A_25C,1,2,1,25n,1,0
6.61039655412494e-06,6.416472640317143e-07,1.2609538548073986e-06,123.991575,23.991574999999997,7.252043818156654e-06,8.512997672964053e-06,123.991575,23.991574999999997,3.4613320000000096e-08,58.69243942241687,-1.5745496799999996,-1.5745496799999996,-1.94302553,2.9745496799999995,0,nominal,100V_10A_25C,1,2,1,25n,1,-2
8.581895574710275e-06,1.1777669384369363e-06,9.754147968297616e-07,120.967715,20.967715,9.759662513147212e-06,1.0735077309976973e-05,120.967715,20.967715,4.102593999999998e-08,67.51468292477622,3.058812500000002,3.058812500000002,0.0749731515,-1.658812500000002,1,nominal,100V_10A_25C,1,2,1,35n,0,0
6.310631961040117e-06,7.123918530809243e-07,2.2034969827008236e-06,120.926463,20.926463,7.023023814121041e-06,9.226520796821864e-06,120.926463,20.926463,3.548112000000004e-08,59.31494514223612,1.6271707999999876,1.6271707999999876,-1.93607891,-0.22717079999998768,1,nominal,100V_10A_25C,1,2,1,35n,0,-2
5.259864178605982e-06,6.328766126733971e-07,1.0472352178937397e-06,123.968087,23.968086999999997,5.892740791279379e-06,6.9399760091731184e-06,123.968087,23.968086999999997,4.915615000000006e-08,62.39225682622615,0.44249849999999924,0.44249849999999924,0.0367310841,0.9575015000000007,0,nominal,100V_10A_25C,1,2,1,35n,1,0
6.602909669352477e-06,6.428931960703622e-07,2.2329083677560724e-06,123.991575,23.991574999999997,7.245802865422839e-06,9.478711233178912e-06,123.991575,23.991574999999997,3.565453999999998e-08,58.21665899189532,-1.5745451600000004,-1.5745451600000004,-1.9748492,2.9745451600000004,0,nominal,100V_10A_25C,1,2,1,35n,1,-2
5.156665712068132e-06,4.862505999597754e-06,4.183085288194467e-08,1.19786025,-98.80213974999998,1.0019171711665886e-05,1.006100256454783e-05,142.276904,42.276904,4.992224999999997e-08,78.02740119722365,4.62934006,1.5970142000000038,4.62934006,-3.2293400599999997,1,nominal,100V_10A_25C,1,2,4,5n,0,0
6.2392907328267045e-06,7.160182583445684e-07,1.9956344751223053e-07,26.6715481,-73.3284519,6.955308991171273e-06,7.154872438683503e-06,145.274741,45.274741000000006,6.09591e-08,70.2083054264806,1.56191398,-0.6926979999999929,1.56191398,-0.16191398,1,nominal,100V_10A_25C,1,2,4,5n,0,-2
5.263813866525724e-06,9.078440243782885e-07,4.340074287015982e-08,7.53389852,-92.46610147999999,6.171657890904013e-06,6.215058633774173e-06,162.301619,62.30161899999999,6.065229000000005e-08,76.36785142205294,1.0239058,0.371740299999999,1.0239058,0.3760941999999998,0,nominal,100V_10A_25C,1,2,4,5n,1,0
6.697612223449512e-06,6.462100014576655e-07,2.2809195890985514e-07,40.6467152,-59.353284800000004,7.343822224907177e-06,7.5719141838170325e-06,135.813299,35.813299,5.752500000000014e-08,62.963729674836486,-1.23530083,-1.62004619,-1.23530083,2.63530083,0,nominal,100V_10A_25C,1,2,4,5n,1,-2
5.122209687032648e-06,1.174681715608952e-06,7.057739398186278e-07,118.866656,18.866656000000006,6.2968914026416e-06,7.0026653424602275e-06,118.866656,18.866656000000006,4.4501720000000053e-08,66.93945080596944,1.5800928000000027,1.5800928000000027,0.123639552,-0.18009280000000283,1,nominal,100V_10A_25C,1,2,4,25n,0,0
6.233930406676084e-06,7.097400554287682e-07,1.3637684504291252e-06,119.248429,19.248429,6.943670462104852e-06,8.307438912533978e-06,119.248429,19.248429,3.1324360000000085e-08,58.96837515384883,-0.7018874000000039,-0.7018874000000039,-1.90233561,2.101887400000004,0,nominal,100V_10A_25C,1,2,4,25n,0,-2
5.279856905475977e-06,6.323201950348233e-07,6.628342750753235e-07,123.943263,23.943263,5.912177100510801e-06,6.575011375586125e-06,123.943263,23.943263,4.897074000000003e-08,62.787881612299124,0.3810442999999992,0.3810442999999992,0.0590735702,1.0189557000000007,0,nominal,100V_10A_25C,1,2,4,25n,1,0
