E_on,E_off,E_dt,Vds_pk_off,ov_pct_off,E_sw,E_tot,Vds_pk,ov_pct,t_set,E_osc,Vgs_spur,Vgs_spur_hs,Vgs_spur_ls,margin,false_on,case,corner,NPU_LS,NPD_LS,NPD_HS,DT,CLKEN,VNEG
9.332953036333251e-06,1.047599749131172e-06,1.1786518997874301e-06,121.456534,21.456534000000005,1.0380552785464423e-05,1.1559204685251854e-05,121.456534,21.456534000000005,4.670499000000001e-08,67.17924714009662,3.238095400000006,3.238095400000006,0.0862824678,-1.558095400000006,1,VTH_hi,100V_10A_25C,1,2,1,35n,0,0
7.072427273005686e-06,7.074737917159816e-07,2.4107209289077146e-06,121.72734,21.727339999999998,7.779901064721668e-06,1.0190621993629383e-05,121.72734,21.727339999999998,3.7022680000000136e-08,58.100310759689364,1.938356099999993,1.938356099999993,-1.93331622,-0.258356099999993,1,VTH_hi,100V_10A_25C,1,2,1,35n,0,-2
5.949590238621273e-06,6.353693782498459e-07,1.2173701596499017e-06,124.032859,24.032859000000002,6.584959616871119e-06,7.802329776521021e-06,124.032859,24.032859000000002,4.570638000000011e-08,61.76122723406103,0.5082084000000009,0.5082084000000009,0.0309780551,1.171791599999999,0,VTH_hi,100V_10A_25C,1,2,1,35n,1,0
7.429301036748959e-06,6.545847237373728e-07,2.404410319118433e-06,123.438947,23.438947,8.083885760486332e-06,1.0488296079604764e-05,123.438947,23.438947,3.560448000000008e-08,57.10116278654854,-1.6207428000000004,-1.6207428000000004,-1.97399345,3.3007428,0,VTH_hi,100V_10A_25C,1,2,1,35n,1,-2
5.7421065016526256e-06,3.674447473966359e-06,5.415312314337187e-08,1.79627816,-98.20372184,9.416553975618985e-06,9.470707098762356e-06,143.255698,43.255697999999995,5.281747e-08,77.55244684889234,4.45237222,1.7579998000000074,4.45237222,-2.7723722200000003,1,VTH_hi,100V_10A_25C,1,2,4,5n,0,0
7.003615004959777e-06,7.060222602743765e-07,2.613677592392709e-07,35.8008782,-64.1991218,7.709637265234154e-06,7.971005024473424e-06,134.343812,34.343812000000014,5.751297999999995e-08,62.32081784426649,1.29079484,-0.5913079000000039,1.29079484,0.38920515999999994,0,VTH_hi,100V_10A_25C,1,2,4,5n,0,-2
6.007317280615765e-06,6.971649365425174e-07,5.805888885723184e-08,10.861375,-89.138625,6.704482217158283e-06,6.762541106015514e-06,154.347408,54.347408,6.106274000000008e-08,77.21188155761082,1.04507179,0.4399441000000053,1.04507179,0.63492821,0,VTH_hi,100V_10A_25C,1,2,4,5n,1,0
7.5448356961258005e-06,6.541431948913233e-07,2.8585954646912913e-07,46.7482233,-53.2517767,8.198978891017124e-06,8.484838437486254e-06,131.50427,31.50426999999999,5.432500000000011e-08,59.752613951127394,-1.25791409,-1.6597869000000003,-1.25791409,2.93791409,0,VTH_hi,100V_10A_25C,1,2,4,5n,1,-2
9.334374949891106e-06,1.047401979428079e-06,4.24045562397866e-07,121.456534,21.456534000000005,1.0381776929319185e-05,1.080582249171705e-05,121.456534,21.456534000000005,4.6917510000000125e-08,67.60809358584696,3.2378412999999995,3.2378412999999995,0.31415896,-1.5578412999999995,1,VTH_hi,100V_10A_25C,1,2,1,15n,0,0
7.105806673159664e-06,7.029541814177875e-07,3.551804447171417e-07,121.72734,21.727339999999998,7.80876085457745e-06,8.163941299294593e-06,121.72734,21.727339999999998,3.425420000000013e-08,58.86882156312991,1.9287081000000086,1.9287081000000086,-1.79823838,-0.24870810000000865,1,VTH_hi,100V_10A_25C,1,2,1,15n,0,-2
