NPU_LS,NPD_LS,NPD_HS,DT_ns,CLKEN,VNEG,E_on_uJ,E_off_uJ,E_dt_uJ,E_tot_uJ,ov_pct,margin_V,Vgs_spur_V
1,2,1,15,0,0,8.61102,1.17591,0.454497,10.2414,20.9677,-1.6652,3.0652
1,2,1,15,0,-2,6.33069,0.709095,0.356291,7.39608,20.9265,-0.216059,1.61606
1,2,1,15,1,0,5.31458,0.62964,0.647233,6.59145,23.9681,0.933497,0.466503
1,2,1,15,1,-2,6.62469,0.640389,0.666341,7.93142,23.9916,2.97422,-1.57422
1,2,1,25,0,0,8.58636,1.17651,0.412385,10.1753,20.9677,-1.65882,3.05882
1,2,1,25,0,-2,6.31338,0.710465,1.2322,8.25605,20.9265,-0.22796,1.62796
1,2,1,25,1,0,5.27632,0.63109,0.627655,6.53506,23.9681,0.952132,0.447868
1,2,1,25,1,-2,6.6104,0.641647,1.26095,8.513,23.9916,2.97455,-1.57455
1,2,1,5,0,0,13.9186,4.86049,0.0139327,18.793,42.277,-3.2286,4.6286
1,2,1,5,0,-2,5.61446,0.715388,0.119199,6.44904,45.1566,-1.16615,2.56615
1,2,1,5,1,0,5.0706,0.907714,0.0195114,5.99782,62.2936,0.077923,1.32208
1,2,1,5,1,-2,6.32079,0.646162,0.157554,7.12451,35.7807,1.77329,-0.373295
1,2,1,10,0,0,9.12912,1.17252,0.579867,10.8815,18.0036,-1.75996,3.15996
1,2,1,10,0,-2,6.21551,0.706318,0.538396,7.46022,18.6681,-0.218851,1.61885
1,2,1,10,1,0,5.21589,0.629418,0.642706,6.48801,23.9681,0.930468,0.469532
1,2,1,10,1,-2,6.5461,0.639785,0.685654,7.87154,23.9916,2.97866,-1.57866
1,2,4,5,0,0,5.15667,4.86251,0.0418309,10.061,42.2769,-3.22934,4.62934
1,2,4,5,0,-2,6.23929,0.716018,0.199563,7.15487,45.2747,-0.161914,1.56191
1,2,4,5,1,0,5.26381,0.907844,0.0434007,6.21506,62.3016,0.376094,1.02391
1,2,4,5,1,-2,6.69761,0.64621,0.228092,7.57191,35.8133,2.6353,-1.2353
1,2,1,35,0,0,8.5819,1.17777,0.975415,10.7351,20.9677,-1.65881,3.05881
1,2,1,35,0,-2,6.31063,0.712392,2.2035,9.22652,20.9265,-0.227171,1.62717
1,2,1,35,1,0,5.25986,0.632877,1.04724,6.93998,23.9681,0.957502,0.442498
1,2,1,35,1,-2,6.60291,0.642893,2.23291,9.47871,23.9916,2.97455,-1.57455
1,2,4,15,0,0,5.12522,1.17431,0.718241,7.01777,18.8667,-0.18001,1.58001
1,2,4,15,0,-2,6.24192,0.708471,0.749001,7.6994,19.2484,2.10267,-0.702671
1,2,4,15,1,0,5.26952,0.629951,0.681652,6.58112,23.9433,1.02674,0.373259
1,2,4,15,1,-2,6.64252,0.640275,0.754505,8.0373,23.9721,3.02405,-1.62405
1,2,4,10,0,0,5.12622,1.17232,0.719668,7.01821,18.0012,-0.180114,1.58011
1,2,4,10,0,-2,6.22624,0.707257,0.788186,7.72168,17.7753,2.10066,-0.700664
1,2,4,10,1,0,5.30856,0.629451,0.678935,6.61694,23.9433,1.00038,0.39962
1,2,4,10,1,-2,6.65441,0.639761,0.773415,8.06759,23.9721,3.02019,-1.62019
1,2,4,25,0,0,5.12221,1.17468,0.705774,7.00267,18.8667,-0.180093,1.58009
1,2,4,25,0,-2,6.23393,0.70974,1.36377,8.30744,19.2484,2.10189,-0.701887
1,2,4,25,1,0,5.27986,0.63232,0.662834,6.57501,23.9433,1.01896,0.381044
1,2,4,25,1,-2,6.63325,0.641703,1.34566,8.62062,23.9721,3.02385,-1.62385
1,2,4,35,0,0,5.11918,1.17528,1.0297,7.32416,18.8667,-0.180134,1.58013
1,2,4,35,0,-2,6.22798,0.711242,2.33614,9.27536,19.2484,2.10178,-0.701783
1,2,4,35,1,0,5.27535,0.63492,1.07674,6.98701,23.9433,1.01904,0.380955
1,2,4,35,1,-2,6.62919,0.642949,2.31757,9.58971,23.9721,3.02356,-1.62356
1,2,8,5,0,0,5.1762,4.86136,0.0792696,10.1168,42.2796,-3.22668,4.62668
1,2,8,5,0,-2,6.48469,0.716452,0.245592,7.44674,45.5401,-0.171679,1.57168
1,2,8,5,1,0,5.33941,0.907959,0.0794853,6.32685,62.3091,0.376112,1.02389
1,2,8,5,1,-2,6.67045,0.646263,0.273936,7.59065,35.8452,2.63534,-1.23534
1,2,8,10,0,0,5.12755,1.1722,0.754038,7.05378,18.0007,0.0464868,1.35351
1,2,8,10,0,-2,6.44185,0.707718,0.827229,7.97679,17.7128,2.68894,-1.28894
1,2,8,10,1,0,5.23887,0.629474,0.711784,6.58013,23.9179,1.10447,0.295533
1,2,8,10,1,-2,6.62762,0.639728,0.815865,8.08321,23.952,3.07669,-1.67669
1,2,8,15,0,0,5.15274,1.17427,0.77655,7.10356,18.7935,0.55043,0.84957
1,2,8,15,0,-2,6.44444,0.708396,0.808088,7.96092,18.3553,2.69006,-1.29006
1,2,8,15,1,0,5.3389,0.630301,0.714618,6.68382,23.9179,1.05466,0.345344
1,2,8,15,1,-2,6.64452,0.640159,0.796214,8.08089,23.952,3.07446,-1.67446
1,2,8,35,0,0,5.13866,1.17363,1.04333,7.35562,18.7935,0.551116,0.848884
1,2,8,35,0,-2,6.43411,0.710473,2.3555,9.50008,18.3553,2.68952,-1.28952
1,2,8,35,1,0,5.28815,0.637551,1.10435,7.03005,23.9179,1.07747,0.322534
1,2,8,35,1,-2,6.65507,0.643122,2.3563,9.65448,23.952,3.07274,-1.67274
1,2,8,25,0,0,5.14449,1.1738,0.760586,7.07888,18.7935,0.550754,0.849246
1,2,8,25,0,-2,6.4387,0.709278,1.38322,8.5312,18.3553,2.68993,-1.28993
1,2,8,25,1,0,5.30073,0.634175,0.697189,6.6321,23.9179,1.07177,0.328232
1,2,8,25,1,-2,6.66086,0.641891,1.38414,8.68689,23.952,3.07257,-1.67257
1,8,1,5,0,0,13.9177,0.636152,0.574259,15.1281,21.6286,-2.19413,3.59413
1,8,1,5,0,-2,5.61307,0.610833,0.547482,6.77138,23.6271,-1.1662,2.5662
1,8,1,5,1,0,5.06948,0.636735,0.580345,6.28656,21.4439,0.078982,1.32102
1,8,1,5,1,-2,6.3194,0.611181,0.558877,7.48946,23.3679,1.77329,-0.373292
1,8,1,10,0,0,9.12484,0.63388,0.350683,10.1094,23.5213,-1.75989,3.15989
1,8,1,10,0,-2,6.21412,0.608034,0.28795,7.1101,25.8969,-0.219186,1.61919
1,8,1,10,1,0,5.21491,0.636143,0.568285,6.41934,22.1557,0.930541,0.469459
1,8,1,10,1,-2,6.54478,0.609791,0.527581,7.68216,23.521,2.97864,-1.57864
1,8,1,15,0,0,8.60731,0.633631,0.203273,9.44421,23.5213,-1.66518,3.06518
1,8,1,15,0,-2,6.32917,0.609132,0.419422,7.35773,25.8969,-0.215826,1.61583
1,8,1,15,1,0,5.31321,0.636349,0.565785,6.51534,22.1557,0.933482,0.466518
1,8,1,15,1,-2,6.62311,0.611242,0.524317,7.75867,23.521,2.97423,-1.57423
1,8,1,25,0,0,8.58274,0.631974,0.574482,9.7892,23.5213,-1.6588,3.0588
1,8,1,25,0,-2,6.31187,0.608921,1.39509,8.31589,25.8969,-0.227835,1.62784
1,8,1,25,1,0,5.27491,0.637019,0.563446,6.47537,22.1557,0.952257,0.447743
1,8,1,25,1,-2,6.60884,0.612026,1.40721,8.62807,23.521,2.97455,-1.57455
1,8,1,35,0,0,8.57825,0.630083,1.13823,10.3466,23.5213,-1.65879,3.05879
1,8,1,35,0,-2,6.30912,0.609404,2.36812,9.28664,25.8969,-0.227016,1.62702
1,8,1,35,1,0,5.25842,0.636589,1.1276,7.02261,22.1557,0.957613,0.442387
1,8,1,35,1,-2,6.60134,0.613049,2.3806,9.59499,23.521,2.97454,-1.57454
1,8,4,5,0,0,5.1551,0.636048,0.602959,6.39411,21.6223,-0.197039,1.59704
1,8,4,5,0,-2,6.23831,0.610695,0.628567,7.47757,23.5047,2.09269,-0.692687
1,8,4,5,1,0,5.26265,0.636733,0.604242,6.50363,21.4368,1.02823,0.371767
1,8,4,5,1,-2,6.69606,0.611181,0.629438,7.93668,23.3522,3.02007,-1.62007
1,8,4,10,0,0,5.12366,0.634828,0.565655,6.32414,22.5266,-0.180103,1.5801
1,8,4,10,0,-2,6.22453,0.609221,0.590762,7.42451,23.9942,2.1008,-0.7008
1,8,4,10,1,0,5.30715,0.636343,0.604208,6.5477,22.1335,1.00041,0.399591
1,8,4,10,1,-2,6.65281,0.60985,0.615606,7.87826,23.5028,3.0202,-1.6202
1,8,4,25,0,0,5.11962,0.6331,0.625999,6.37872,22.5266,-0.180164,1.58016
1,8,4,25,0,-2,6.23241,0.609338,1.52624,8.36799,23.9942,2.10183,-0.701832
1,8,4,25,1,0,5.27844,0.637112,0.59398,6.50954,22.1335,1.01899,0.381014
1,8,4,25,1,-2,6.63169,0.612438,1.49222,8.73635,23.5028,3.02384,-1.62384
1,8,4,15,0,0,5.12263,0.634274,0.563755,6.32066,22.5266,-0.1801,1.5801
1,8,4,15,0,-2,6.24035,0.609531,0.589606,7.43949,23.9942,2.10238,-0.702381
1,8,4,15,1,0,5.26803,0.636716,0.599483,6.50423,22.1335,1.02685,0.373147
1,8,4,15,1,-2,6.64096,0.611503,0.613103,7.86557,23.5028,3.02406,-1.62406
1,8,4,35,0,0,5.1166,0.631199,1.18985,6.93764,22.5266,-0.1802,1.5802
1,8,4,35,0,-2,6.22649,0.609633,2.49939,9.33552,23.9942,2.10177,-0.70177
1,8,4,35,1,0,5.27394,0.636325,1.15783,7.06809,22.1335,1.01907,0.380929
1,8,4,35,1,-2,6.62761,0.613595,2.46546,9.70666,23.5028,3.02355,-1.62355
1,8,8,5,0,0,5.17421,0.636048,0.640826,6.45108,21.5887,0.544106,0.855894
1,8,8,5,0,-2,6.48296,0.610804,0.674814,7.76857,23.4365,2.68423,-1.28423
1,8,8,5,1,0,5.33746,0.636726,0.640466,6.61466,21.4295,1.0472,0.352796
1,8,8,5,1,-2,6.66904,0.61118,0.675313,7.95553,23.336,3.07464,-1.67464
1,8,8,10,0,0,5.12488,0.634876,0.625053,6.3848,22.395,0.552778,0.847222
1,8,8,10,0,-2,6.44014,0.609285,0.647939,7.69736,23.5964,2.68897,-1.28897
1,8,8,10,1,0,5.23745,0.636561,0.63657,6.51058,22.1108,1.10446,0.295542
1,8,8,10,1,-2,6.62626,0.609923,0.658887,7.89507,23.4842,3.07663,-1.67663
1,8,8,15,0,0,5.14985,0.634794,0.619651,6.4043,22.395,0.550122,0.849878
1,8,8,15,0,-2,6.44291,0.60986,0.64519,7.69796,23.5964,2.69011,-1.29011
1,8,8,15,1,0,5.3375,0.637161,0.631907,6.60657,22.1108,1.05469,0.345309
1,8,8,15,1,-2,6.64295,0.611812,0.655655,7.91041,23.4842,3.07446,-1.67446
1,8,8,25,0,0,5.14165,0.634472,0.639159,6.41528,22.395,0.55074,0.84926
1,8,8,25,0,-2,6.43697,0.610006,1.54567,8.59265,23.5964,2.68958,-1.28958
1,8,8,25,1,0,5.29921,0.637284,0.622273,6.55877,22.1108,1.07185,0.328149
1,8,8,25,1,-2,6.65928,0.612884,1.53128,8.80345,23.4842,3.07258,-1.67258
1,8,8,35,0,0,5.13585,0.633963,1.20307,6.97288,22.395,0.551165,0.848835
1,8,8,35,0,-2,6.43261,0.610455,2.5188,9.56186,23.5964,2.68945,-1.28945
1,8,8,35,1,0,5.28663,0.635063,1.18657,7.10826,22.1108,1.07755,0.322447
1,8,8,35,1,-2,6.65351,0.614157,2.50438,9.77205,23.4842,3.07277,-1.67277
2,2,1,5,0,0,14.349,4.86044,0.013934,19.2234,42.2769,-3.2285,4.6285
2,2,1,5,0,-2,5.20037,0.715439,0.12081,6.03662,44.8594,-1.8237,3.2237
2,2,1,5,1,0,4.27812,0.907625,0.0195138,5.20526,62.291,0.077924,1.32208
2,2,1,5,1,-2,5.57165,0.646195,0.157579,6.37543,35.7782,1.77329,-0.373295
2,2,1,10,0,0,8.31451,1.17268,0.579887,10.0671,18.0041,-2.22671,3.62671
2,2,1,10,0,-2,4.95556,0.706405,0.538168,6.20013,18.682,-0.650672,2.05067
2,2,1,10,1,0,3.88009,0.62937,0.642706,5.15216,23.9682,0.797837,0.602163
2,2,1,10,1,-2,5.23921,0.639819,0.685689,6.56472,23.9911,2.88821,-1.48821
2,2,1,15,0,0,7.25133,1.17607,0.454477,8.88188,20.9684,-2.06379,3.46379
2,2,1,15,0,-2,5.19437,0.709186,0.35565,6.2592,20.9235,-0.536464,1.93646
2,2,1,15,1,0,3.99468,0.629591,0.647232,5.2715,23.9682,0.849305,0.550695
2,2,1,15,1,-2,5.26143,0.640423,0.666336,6.56819,23.9911,2.88554,-1.48554
2,2,1,25,0,0,7.19511,1.17668,0.412424,8.78422,20.9684,-2.04675,3.44675
2,2,1,25,0,-2,5.19118,0.71056,1.23267,7.13442,20.9235,-0.559413,1.95941
2,2,1,25,1,0,3.98024,0.631041,0.627654,5.23894,23.9682,0.869483,0.530517
2,2,1,25,1,-2,5.27779,0.641681,1.26099,7.18046,23.9911,2.89586,-1.49586
2,2,1,35,0,0,7.19168,1.17793,0.97547,9.34508,20.9684,-2.04673,3.44673
2,2,1,35,0,-2,5.18857,0.712507,2.20398,8.10506,20.9235,-0.558703,1.9587
2,2,1,35,1,0,3.97886,0.632828,1.04728,5.65896,23.9682,0.880816,0.519184
2,2,1,35,1,-2,5.27327,0.642927,2.23296,8.14916,23.9911,2.89588,-1.49588
2,2,4,5,0,0,4.00469,4.86231,0.0416754,8.90868,42.2768,-3.22925,4.62925
2,2,4,5,0,-2,5.1012,0.716003,0.199278,6.01648,45.27,-0.161762,1.56176
2,2,4,5,1,0,3.95428,0.907755,0.0432748,4.90531,62.299,0.376124,1.02388
2,2,4,5,1,-2,5.2282,0.646239,0.228118,6.10256,35.8107,2.63534,-1.23534
2,2,4,10,0,0,3.92681,1.17234,0.719689,5.81884,18.002,-0.373903,1.7739
2,2,4,10,0,-2,4.97382,0.707243,0.788181,6.46925,17.7752,2.00726,-0.60726
2,2,4,10,1,0,3.98204,0.629402,0.678936,5.29038,23.9434,0.91005,0.48995
2,2,4,10,1,-2,5.24521,0.639791,0.772964,6.65796,23.9716,2.92061,-1.52061
2,2,4,15,0,0,3.92586,1.17433,0.718413,5.81861,18.867,-0.375624,1.77562
2,2,4,15,0,-2,4.98952,0.708457,0.749299,6.44728,19.2484,2.0022,-0.602205
2,2,4,15,1,0,4.02883,0.629902,0.681651,5.34039,23.9434,0.982669,0.417331
2,2,4,15,1,-2,5.31202,0.640305,0.754501,6.70683,23.9716,2.95487,-1.55487
2,2,4,25,0,0,3.92398,1.1747,0.70577,5.80445,18.867,-0.375689,1.77569
2,2,4,25,0,-2,4.98469,0.709725,1.36381,7.05822,19.2484,2.00186,-0.601861
2,2,4,25,1,0,4.00887,0.632271,0.662834,5.30398,23.9434,0.957532,0.442468
2,2,4,25,1,-2,5.29961,0.641732,1.3457,7.28704,23.9716,2.9554,-1.5554
2,2,4,35,0,0,3.92197,1.17529,1.02974,6.127,18.867,-0.375729,1.77573
2,2,4,35,0,-2,4.98019,0.711228,2.33619,8.02761,19.2484,2.00172,-0.60172
2,2,4,35,1,0,4.00087,0.634871,1.07678,5.71252,23.9434,0.953227,0.446773
2,2,4,35,1,-2,5.29194,0.642978,2.31763,8.25254,23.9716,2.95581,-1.55581
2,2,8,5,0,0,3.88424,4.86113,0.0794336,8.82481,42.2794,-3.22658,4.62658
2,2,8,5,0,-2,5.08452,0.716376,0.24562,6.04652,45.5355,-0.171525,1.57153
2,2,8,5,1,0,4.07779,0.907872,0.0796181,5.06528,62.3064,0.376141,1.02386
2,2,8,5,1,-2,5.38608,0.646288,0.273963,6.30633,35.8427,2.63537,-1.23537
2,2,8,10,0,0,3.89741,1.17219,0.75406,5.82366,18.0014,0.0465528,1.35345
2,2,8,10,0,-2,5.13243,0.707641,0.827226,6.6673,17.7127,2.56722,-1.16722
2,2,8,10,1,0,4.01994,0.629427,0.711785,5.36115,23.918,1.04804,0.351958
2,2,8,10,1,-2,5.36864,0.639754,0.815864,6.82426,23.9515,3.00861,-1.60861
2,2,8,15,0,0,3.90816,1.17427,0.776548,5.85897,18.7938,0.552475,0.847525
2,2,8,15,0,-2,5.16648,0.708318,0.808083,6.68288,18.3553,2.56416,-1.16416
2,2,8,15,1,0,3.98611,0.630256,0.714618,5.33098,23.918,0.966053,0.433947
2,2,8,15,1,-2,5.33234,0.640185,0.796211,6.76873,23.9515,3.0152,-1.6152
2,2,8,25,0,0,3.90391,1.17379,0.760583,5.83828,18.7938,0.552504,0.847496
2,2,8,25,0,-2,5.15965,0.709201,1.38327,7.25212,18.3553,2.56395,-1.16395
2,2,8,25,1,0,3.9947,0.634129,0.697189,5.32601,23.918,0.995809,0.404191
2,2,8,25,1,-2,5.31127,0.641918,1.38418,7.33736,23.9515,3.01713,-1.61713
2,2,8,35,0,0,3.90073,1.17363,1.04338,6.11774,18.7938,0.552517,0.847483
2,2,8,35,0,-2,5.15398,0.710396,2.35555,8.21993,18.3553,2.56433,-1.16433
2,2,8,35,1,0,4.00878,0.637505,1.10439,5.75068,23.918,1.01307,0.386927
2,2,8,35,1,-2,5.30889,0.643148,2.35635,8.30839,23.9515,3.01688,-1.61688
2,8,1,5,0,0,14.3338,0.636282,0.574265,15.5444,21.6283,-2.92939,4.32939
2,8,1,5,0,-2,5.19957,0.610806,0.546574,6.35694,23.6322,-1.82383,3.22383
2,8,1,5,1,0,4.27689,0.636686,0.580347,5.49392,21.4439,0.078983,1.32102
2,8,1,5,1,-2,5.57052,0.61121,0.558871,6.7406,23.368,1.77329,-0.373293
2,8,1,10,0,0,8.31095,0.63401,0.350667,9.29562,23.5212,-2.22675,3.62675
2,8,1,10,0,-2,4.95376,0.608026,0.286639,5.84843,25.9004,-0.651036,2.05104
2,8,1,10,1,0,3.87904,0.636094,0.568281,5.08342,22.1557,0.797575,0.602425
2,8,1,10,1,-2,5.23809,0.609819,0.527573,6.37548,23.5211,2.88816,-1.48816
