ILOAD,VNEG,margin_V,Vgs_spur_V,E_dt_uJ,E_tot_uJ,false_on
2,0.0,0.608046,0.791954,0.625354,2.460175,0
2,-0.5,1.109852,0.290148,0.637276,2.595844,0
2,-1.0,1.602739,-0.202739,0.647664,2.761842,0
2,-1.5,2.097583,-0.697583,0.656956,2.959781,0
2,-2.0,2.592004,-1.192004,0.665111,3.174217,0
2,-2.5,3.082541,-1.682541,0.672036,3.416679,0
2,-3.0,3.573400,-2.173400,0.677552,3.690337,0
2,-3.5,4.067803,-2.667803,0.681583,3.992513,0
2,-4.0,4.516421,-3.116421,0.683924,4.302430,0
2,-5.0,5.424084,-4.024084,0.684375,4.859978,0
10,0.0,0.569614,0.830386,0.632038,4.054827,0
10,-0.5,1.079700,0.320300,0.640552,4.303962,0
10,-1.0,1.589322,-0.189322,0.648030,4.595815,0
10,-1.5,2.087552,-0.687552,0.653643,4.910291,0
10,-2.0,2.575884,-1.175884,0.655644,5.232622,0
10,-2.5,3.056840,-1.656840,0.678038,5.591772,0
10,-3.0,3.535031,-2.135031,0.800995,6.076363,0
10,-3.5,4.014131,-2.614131,0.919992,6.599626,0
10,-4.0,4.500369,-3.100369,1.035673,7.165364,0
10,-5.0,5.489687,-4.089687,1.251904,8.420016,0
